,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,RespectfulResponse,CourteousExchange,ActiveListening,Contract,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Bandwidth_GB_Year
1443,-0.6737512392111346,0.8906460621258305,-0.14873044819892378,-0.3755797033763497,-0.32062287594584477,-0.9967786961579193,-1.0058516991026796,0.9466579047036832,-1.00921181245303,0.22941768879095753,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,0.48638937610826977,-0.4954056262379492,-1.4540408110282002,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,-1.0154405538862785
1665,-0.5606690192222371,-0.04084592357288879,-0.19704465304524774,-0.5233666074376531,0.7557173708858765,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-0.7391540451375155,1.6299003363028535,0.49067915569344955,1.4449218825567476,1.4718964368813727,1.4647605064018812,0.4948436788828508,1.453943336936338,1.4492680783271112,0.4903839162092966,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,-0.6872191506623557
4353,-0.41903908193222095,-0.5065919164222484,-0.5835582918158394,-0.7728096039114204,0.8017391669843563,0.6557058797007002,0.005867974104602262,-0.6258635316811727,-1.0612941364196944,-0.3526055502096308,0.49067915569344955,0.4783542977305066,0.4990633655784165,0.4898783058016274,1.4706742426431563,0.48638937610826977,-0.4954056262379492,2.4348086434467935,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,-1.2125956139715035
1839,0.05747220903815137,-0.5065919164222484,0.3344116002643158,0.0023995323507873556,-1.5558980487204084,0.3252089645289763,-1.0058516991026796,-0.6258635316811727,-0.6137469469498742,-0.7607651569635242,-0.47294840851206826,-0.48821328709573447,-1.446602777027496,0.4898783058016274,-1.45681744863776,-1.4487185455478664,-0.4954056262379492,-0.4818284474094517,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,-0.7237007975983015
5828,-0.6476286920690915,-0.9723379092716081,-1.4532139790496708,-0.5710354437949152,-0.07197428992899231,0.3252089645289763,-1.0058516991026796,0.9466579047036832,1.3910934490170588,1.456967959719754,0.49067915569344955,-0.48821328709573447,0.4990633655784165,0.4898783058016274,-0.48098688487745467,1.453943336936338,1.4492680783271112,1.462596279828045,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.499018551472761
5693,1.4094006368588485,-0.04084592357288879,-0.2453588578915717,-0.489439278903002,-0.7802151500692855,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,1.1692275694761827,-0.5860307707465495,-0.47294840851206826,0.4783542977305066,0.4990633655784165,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0.9756179250580713
1045,-0.30179942738490817,0.8906460621258305,-0.6318724966621634,-0.11775470275034026,0.7965987179629981,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,-0.7998583941365558,0.2873377436477077,-0.47294840851206826,0.4783542977305066,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,1.453943336936338,0.47693122604458105,0.4903839162092966,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-0.5662407066255601
6302,-0.5802089616467893,-0.9723379092716081,-0.3903014724305436,-0.8506935154835811,0.6570352839109689,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,1.0769855324874094,-0.993155002102122,2.417934284104485,0.4783542977305066,2.444729508184329,2.4396427070021347,-0.48098688487745467,1.453943336936338,0.47693122604458105,-0.4818284474094517,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.1217841464529292
1646,-0.6059157653329909,-0.9723379092716081,-0.8734435208937832,-0.3439886687727771,-0.45294621442105126,-1.657772526501367,-1.0058516991026796,-0.6258635316811727,-0.5765904363141922,0.7530936583220611,-2.4002035369231036,-1.4547808719219755,-1.446602777027496,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-0.5829496325178575
473,-0.04868095335338715,-0.04084592357288879,-1.211642954818051,-1.222368162032407,1.174373363751959,-0.6662817809861953,2.0293073205191656,-0.6258635316811727,-0.9620983549376011,-0.2948190275736175,-1.436575972717586,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,0.47693122604458105,-1.4540408110282002,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1.0405041340128252
8856,-0.6409075061996533,-0.5065919164222484,0.2377831905716679,0.9206602155307512,1.194125208566178,-1.9882694416730908,1.0175876473118841,-0.6258635316811727,1.332010348819407,1.6298146372145534,-0.47294840851206826,0.4783542977305066,-1.446602777027496,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,2,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.5373595727465053
8787,-0.6237927339341768,-0.9723379092716081,-0.9217577257401072,-1.0255123474729948,0.3608967138582904,-0.0052879506427475865,-1.0058516991026796,0.9466579047036832,0.6675930409721733,1.6298146372145534,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,0.4903839162092966,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.9005213199323956
2276,-0.6258021606374109,-0.5065919164222484,0.18946898572534393,-1.1737889937806278,0.20282867345401095,0.3252089645289763,-1.0058516991026796,0.9466579047036832,-1.0583225090349886,-1.0514396972644708,-2.4002035369231036,-2.4213484567482166,-0.4737697057245398,2.4396427070021347,-2.4326480123980656,0.48638937610826977,-0.4954056262379492,0.4903839162092966,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,-1.1928386029436253
9064,2.2273065956510942,-0.5065919164222484,-1.018386135432755,-0.8853212357173639,0.26220289922205925,-0.0052879506427475865,1.0175876473118841,-0.6258635316811727,1.048076315953614,0.9322310447906138,0.49067915569344955,1.4449218825567476,0.4990633655784165,1.4647605064018812,0.4948436788828508,-0.48116458471979834,0.47693122604458105,0.4903839162092966,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1.1090938801474624
5819,1.2103288120867268,0.4249000692764709,-1.3082713645106987,0.06056147756152285,-0.5480259378455077,1.6471966252158718,-1.0058516991026796,0.9466579047036832,1.0484064757635851,-1.5753429091063438,0.49067915569344955,1.4449218825567476,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,1.4492680783271112,-0.4818284474094517,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1.123778627850756
4257,-0.2984041891622023,-0.04084592357288879,0.8175536487275554,-1.194651800697044,-0.19841292855378495,-1.9882694416730908,2.0293073205191656,0.9466579047036832,-1.2558968332834974,-1.5756968836014962,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,-2.4326480123980656,0.48638937610826977,1.4492680783271112,-0.4818284474094517,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,-1.4172471129005284
5279,-0.6104889433472477,0.8906460621258305,0.4793542148032877,1.462036756435182,-1.4747632095327075,-1.9882694416730908,-1.0058516991026796,0.9466579047036832,1.3531118342227857,-0.5278182677509756,1.4543067198989672,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,-1.45681744863776,0.48638937610826977,1.4492680783271112,-0.4818284474094517,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1.2261045243508348
6676,-0.6651592077904095,0.8906460621258305,0.2377831905716679,0.6045800023436915,-0.6121937191661119,0.986202794872424,0.005867974104602262,-0.6258635316811727,1.2732937146651249,-0.8182776288193426,0.49067915569344955,0.4783542977305066,2.444729508184329,0.4898783058016274,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1.087922282037701
6364,-0.6571907915534467,-0.5065919164222484,-0.4386156772768675,-0.4846085266368892,-0.29351922134780833,1.316699710044148,0.005867974104602262,0.9466579047036832,1.3838806106484798,0.8147138411795543,0.49067915569344955,1.4449218825567476,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,1.4492680783271112,0.4903839162092966,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.366161476998961
4331,-0.3697734824149991,-0.04084592357288879,1.2523814923444712,-0.6179928949630845,0.3178538445469016,0.6557058797007002,1.0175876473118841,0.9466579047036832,-1.2321187464607724,0.8733431957187622,0.49067915569344955,1.4449218825567476,1.4718964368813727,-0.48500389479862627,0.4948436788828508,0.48638937610826977,0.47693122604458105,1.462596279828045,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,-1.2531070618820719
3293,-0.33242586196523455,-0.04084592357288879,1.4456383117297669,-0.5491353479063673,0.15636831658780312,-1.3272756113296431,2.0293073205191656,0.9466579047036832,-1.0309193204453708,-0.5857117279449975,-1.436575972717586,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,-1.4677424785204796,-1.4540408110282002,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,-1.183665966789532
9922,-0.4816084720363719,-0.9723379092716081,-1.211642954818051,1.7627750224385264,-1.0128586831558084,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,1.3996772258863772,1.044403699280785,-1.436575972717586,-1.4547808719219755,-2.4194358483304526,-0.48500389479862627,-1.45681744863776,-0.48116458471979834,-1.4677424785204796,-0.4818284474094517,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1.3889717482835073
6397,1.0197104375833834,-0.9723379092716081,0.8658678535738794,-0.3812282294440817,-0.024207760582392,-0.0052879506427475865,-1.0058516991026796,0.9466579047036832,0.7228533973448674,-0.993841992076267,-0.47294840851206826,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-1.4487185455478664,0.47693122604458105,-0.4818284474094517,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.7277157890890971
6133,-0.6488066318606425,-0.9723379092716081,0.6726110341885836,-0.6565208217320831,-2.527968691025116,-0.0052879506427475865,-1.0058516991026796,-0.6258635316811727,1.1422474997816348,0.22990139959614317,0.49067915569344955,-0.48821328709573447,0.4990633655784165,-0.48500389479862627,0.4948436788828508,0.48638937610826977,1.4492680783271112,0.4903839162092966,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1.0341689368717377
8016,-0.5335071134405902,-0.9723379092716081,1.0108104681128514,1.1683736877935487,-1.198139266301173,-0.0052879506427475865,-1.0058516991026796,2.519179341088539,1.19786259830983,1.3359808745443706,-0.47294840851206826,-1.4547808719219755,0.4990633655784165,-1.45988609539888,1.4706742426431563,-1.4487185455478664,-0.4954056262379492,-1.4540408110282002,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1.1538602810762082
8679,-0.23396395350676444,0.8906460621258305,1.6872093359613867,-0.4467841832253981,0.8710600625284771,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,0.979130022349264,1.3385891076665468,-0.47294840851206826,-0.48821328709573447,1.4718964368813727,0.4898783058016274,-0.48098688487745467,1.453943336936338,-2.4400793308030098,-0.4818284474094517,2,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.9625828198495898
8218,-0.6678615402533795,-0.5065919164222484,1.5422667214224148,-1.2192697710069316,-0.3947013836087631,-0.9967786961579193,-1.0058516991026796,-0.6258635316811727,0.8151177475395839,-0.4696430252285757,-1.436575972717586,-0.48821328709573447,-1.446602777027496,0.4898783058016274,0.4948436788828508,0.48638937610826977,-0.4954056262379492,0.4903839162092966,2,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0.8922761241357482
4489,-0.6622490035995188,-0.9723379092716081,1.0108104681128514,-0.5002480073069702,0.8116791160376068,0.986202794872424,0.005867974104602262,-0.6258635316811727,-1.2245384209360088,2.2713887521193277,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-1.45988609539888,-0.48098688487745467,-2.4162725063759347,-0.4954056262379492,0.4903839162092966,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,-0.938623232668624
448,-0.40767542747255237,-0.5065919164222484,0.14115478087901998,-0.5824488141467413,-0.5277509240758504,-0.0052879506427475865,1.0175876473118841,-0.6258635316811727,-1.1221054617354447,-1.0522065876657776,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,0.4898783058016274,0.4948436788828508,0.48638937610826977,1.4492680783271112,0.4903839162092966,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,-1.0673303122575872
1567,-0.6682079931332474,-0.5065919164222484,0.14115478087901998,0.013557570032550554,0.3050773841835125,0.3252089645289763,0.005867974104602262,-0.6258635316811727,-1.1566241092489886,0.35004344052773684,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,0.4948436788828508,0.48638937610826977,-1.4677424785204796,-0.4818284474094517,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-1.1317509497397935
8534,-0.598293801975896,0.4249000692764709,-0.05210203850627586,0.7165125254687834,1.2071062846962344,-0.9967786961579193,0.005867974104602262,-0.6258635316811727,1.2378524016389798,0.17053149315260288,-2.4002035369231036,-0.48821328709573447,-1.446602777027496,-1.45988609539888,0.4948436788828508,-2.4162725063759347,-1.4677424785204796,-1.4540408110282002,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.1110023953915247
5569,-0.5062066265069961,-0.9723379092716081,1.204067287498147,0.03558462299871315,-0.8518120183969646,-0.3357848658144715,2.0293073205191656,-0.6258635316811727,1.3807079753153209,-1.283700528014704,0.49067915569344955,0.4783542977305066,0.4990633655784165,0.4898783058016274,0.4948436788828508,0.48638937610826977,1.4492680783271112,-1.4540408110282002,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1.1465250697740987
9653,-0.24712916294174636,0.8906460621258305,-0.970071930586431,-0.2443248804442232,0.034360314483196756,0.3252089645289763,0.005867974104602262,-0.6258635316811727,1.1241654827892635,-0.5861169355907644,-1.436575972717586,-0.48821328709573447,1.4718964368813727,1.4647605064018812,0.4948436788828508,0.48638937610826977,-0.4954056262379492,-1.4540408110282002,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1.2017955130862414
6629,-0.37434666042925596,-0.5065919164222484,0.044526371186372066,-1.0889564872956632,-0.12309916446958043,1.316699710044148,-1.0058516991026796,-0.6258635316811727,1.3898798375277148,-0.4695382301477738,-0.47294840851206826,0.4783542977305066,1.4718964368813727,0.4898783058016274,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,2,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1.4940205462345908
7012,1.559899767873484,-0.5065919164222484,-1.1633287499717269,1.1817470910168182,-0.9325228589431113,-1.9882694416730908,1.0175876473118841,-0.6258635316811727,0.7568284680076012,1.2230956135047477,0.49067915569344955,1.4449218825567476,0.4990633655784165,-0.48500389479862627,0.4948436788828508,-0.48116458471979834,0.47693122604458105,0.4903839162092966,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1.072573215930519
2781,-0.3360982624918348,0.8906460621258305,1.7355235408077105,-0.4369627411456744,-1.2581022273883993,1.9776935403875957,0.005867974104602262,0.9466579047036832,-0.7623374161912904,0.2874222550584258,0.49067915569344955,1.4449218825567476,1.4718964368813727,-1.45988609539888,0.4948436788828508,1.453943336936338,1.4492680783271112,-0.4818284474094517,2,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,-0.8227327180399878
7433,-0.49636736471874643,0.4249000692764709,0.7209252390349075,-0.6117861833082976,1.7523114821586108,1.316699710044148,-1.0058516991026796,-0.6258635316811727,0.49332160789778845,0.40867482110517317,-0.47294840851206826,0.4783542977305066,-1.446602777027496,-1.45988609539888,0.4948436788828508,-0.48116458471979834,0.47693122604458105,-1.4540408110282002,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0.5487319189354316
6045,-0.6156857365452668,-0.9723379092716081,1.300695697190795,1.0868080209705593,-0.2991958798791322,-1.9882694416730908,0.005867974104602262,0.9466579047036832,0.4848350258407984,-0.4694543940831323,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,1.4647605064018812,-0.48098688487745467,0.48638937610826977,0.47693122604458105,0.4903839162092966,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0.3018764698088672
8080,-0.5075231474504943,1.82213804782455,1.0591246729591752,0.05313377926364204,0.35821514545244393,1.6471966252158718,1.0175876473118841,-0.6258635316811727,0.5386873810994921,-0.06189235216776646,0.49067915569344955,0.4783542977305066,0.4990633655784165,1.4647605064018812,-1.45681744863776,-0.48116458471979834,-0.4954056262379492,0.4903839162092966,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.4703099266893136
8440,-0.031774052815831406,-0.5065919164222484,-0.8734435208937832,0.4443775472005637,1.4304359040603454,-0.6662817809861953,-1.0058516991026796,-0.6258635316811727,1.10355715705622,0.2291631764713843,1.4543067198989672,0.4783542977305066,-0.4737697057245398,2.4396427070021347,-0.48098688487745467,0.48638937610826977,2.4216049306096417,1.462596279828045,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.0113485987076767
